t,r
0.0,22178.22266
10.02999997,22141.62305
20.03999996,22233.375
30.03999996,22272.17188
40.05999994,22246.4707
50.05999994,22277.875
60.07999992,22271.87891
70.07999992,22291.05469
80.08999991,22252.74609
90.08999991,22283.87109
100.08999990000001,22265.88281
110.1299999,22297.6582
120.1299999,22321.99023
130.14000009999998,22296.46094
140.14000009999998,22341.26172
150.1500001,22341.26172
160.1600001,22354.87109
170.1900001,22372.62109
180.22,22379.61328
190.23,22385.96484
200.23,22384.99023
210.26,22391.66797
220.27,22391.33984
230.29,22379.28906
240.30999989999998,22411.07812
250.31999989999997,22410.41211
260.3399999,22391.99414
270.3399999,22373.90625
280.3499999,22398.68164
290.3499999,22398.68164
300.3399999,22411.41211
310.3799999,22416.7793
320.3799999,22467.82617
330.4000001,22493.43945
340.4100001,22467.82617
350.43000010000003,22511.59961
360.45,22463.87109
370.45,22487.38477
380.46,22461.7793
390.5,22399.00977
400.5,22463.17383
410.5,22461.7793
420.51,22462.82422
430.53,22505.9043
440.54,22494.15234
450.5599999,22506.26562
460.56999989999997,22518.37891
470.57999989999996,22500.20898
480.5899999,22538.39844
490.6099999,22488.45312
500.6199999,22468.875
510.6299999,22513.41211
520.6199999,22506.98828
530.6400001000001,22538.02734
540.6400001000001,22519.47461
550.6500001,22526.26953
560.6500001,22544.83789
570.6800001,22551.27734
580.7,22526.63672
590.71,22506.98828
600.71,22519.10742
610.71,22564.93164
620.72,22532.70508
630.72,22533.8125
640.74,22539.14062
650.77,22558.09961
660.77,22533.07227
670.78,22513.77539
680.79,22559.23242
690.8,22571.38672
700.8,22514.13867
710.8199999,22596.85938
720.8299999,22558.47656
730.8299999,22603.33398
740.8199999,22597.25
750.8499999,22596.85938
760.8799999,22591.16602
770.8799999,22578.22852
780.8900001000001,22571.76758
790.8900001000001,22603.33398
800.9200001,22626.875
810.9200001,22570.24414
820.9100001,22616.29102
830.9400001,22591.16602
840.96,22577.46289
850.95,22552.7793
860.97,22596.85938
870.97,22577.08203
880.99,22621.19141
891.0,22609.80859
900.99,22629.26172
911.02,22616.68359
921.03,22610.20312
931.0599999,22596.4707
941.0699999,22616.68359
951.1099998999999,22590.39062
961.1099998999999,22602.94141
971.0999999,22609.41797
981.1400001000001,22629.66016
991.1299999,22590.39062
1001.14,22635.35352
1011.17,22616.29102
1021.17,22609.80859
1031.18,22654.0332
1041.18,22622.37695
1051.2,22648.3418
1061.24,22622.37695
1071.23,22628.46484
1081.26,22623.16992
1091.25,22642.24805
1101.25,22634.95117
1111.28,22666.62695
1121.28,22667.85547
1131.29,22648.74805
1141.29,22628.86328
1151.3,22642.24805
1161.32,22647.53516
1171.32,22673.13477
1181.32,22628.06641
1191.34,22686.98633
1201.35,22654.4375
1211.37,22649.55664
1221.37,22667.44531
1231.39,22648.74805
1241.4,22654.84375
1251.42,22628.86328
1261.41,22623.96289
1271.43,22674.36914
1281.45,22673.95508
1291.45,22623.56836
1301.48,22616.68359
1311.48,22673.95508
1321.5,22655.65625
1331.49,22669.49805
1341.51,22622.37695
1351.53,22726.16992
1361.55,22706.56055
1371.54,22680.88281
1381.56,22668.67578
1391.55,22705.29883
1401.57,22686.98633
1411.59,22654.84375
1421.6,22636.95508
1431.59,22687.40234
1441.61,22673.95508
1451.62,22661.34766
1461.62,22630.45898
1471.64,22646.73047
1481.66,22661.34766
1491.67,22674.36914
1501.67,22693.50781
1511.69,22713.51758
1521.71,22707.40625
1531.71,22700.87305
1541.74,22648.3418
1551.72,22668.67578
1561.75,22667.85547
1571.75,22675.60352
1581.76,22706.56055
1591.75,22706.56055
1601.77,22655.24805
1611.77,22669.08789
1621.79,22681.71094
1631.82,22726.16992
1641.82,22701.71484
1651.83,22706.13867
1661.84,22713.51758
1671.84,22695.18164
1681.84,22714.36523
1691.86,22676.01758
1701.87,22667.85547
1711.88,22674.7793
1721.92,22695.18164
1731.92,22731.85547
1741.95,22733.14453
1751.94,22707.40625
1761.95,22721.33594
1771.95,22739.26172
1781.97,22688.65234
1791.99,22720.48047
1802.01,22727.02539
1812.04,22765.92773
1822.06,22727.02539
1832.05,22745.37891
1842.07,22688.65234
1852.07,22700.87305
1862.07,22708.25
1872.09,22765.04883
1882.11,22699.61328
1892.11,22734.00391
1902.12,22738.82812
1912.12,22739.69336
1922.13,22745.8125
1932.13,22720.05664
1942.14,22739.69336
1952.16,22766.80859
1962.16,22740.125
1972.17,22700.87305
1982.19,22733.57422
1992.2,22731.85547
2002.2,22778.625
2012.22,22753.67578
2022.24,22747.11328
2032.23,22733.14453
2042.26,22700.87305
2052.27,22733.57422
2062.26,22775.59961
2072.29,22779.51367
2082.29,22785.64453
2092.29,22760.24219
2102.29,22734.86523
2112.31,22740.125
2122.33,22777.29688
2132.33,22753.23828
2142.35,22778.18164
2152.37,22758.48828
2162.39,22778.18164
2172.4,22779.95703
2182.4,22766.80859
2192.4,22772.93945
2202.43,22785.19922
2212.44,22771.17383
2222.45,22765.92773
2232.47,22720.48047
2242.46,22747.11328
2252.49,22805.39648
2262.49,22779.95703
2272.52,22754.54883
2282.54,22765.92773
2292.53,22760.24219
2302.54,22817.66992
2312.57,22766.36914
2322.56,22786.53906
2332.57,22784.75391
2342.59,22785.64453
2352.59,22773.38281
2362.61,22747.11328
2372.6,22772.49805
2382.61,22747.11328
2392.63,22746.68164
2402.63,22739.26172
2412.66,22791.32812
2422.65,22758.92578
2432.67,22792.67383
2442.67,22759.36328
2452.7,22791.77734
2462.72,22740.55859
2472.71,22772.49805
2482.73,22758.92578
2492.76,22753.67578
2502.78,22758.48828
2512.76,22734.43555
2522.79,22766.36914
2532.8,22758.48828
2542.81,22766.36914
2552.82,22745.8125
2562.82,22772.93945
2572.83,22797.9082
2582.83,22785.19922
2592.82,22791.32812
2602.84,22805.84766
2612.83,22779.06836
2622.85,22778.625
2632.86,22784.75391
2642.89,22752.80273
2652.92,22759.36328
2662.91,22772.05469
2672.92,22760.24219
2682.94,22779.51367
2692.95,22760.67969
2702.96,22811.07812
2712.96,22772.05469
2722.97,22746.24609
2732.96,22785.19922
2742.98,22778.625
2752.99,22772.93945
2762.98,22804.94336
2772.98,22779.95703
2783.0,22765.92773
2793.0,22760.24219
2803.02,22772.49805
2813.04,22811.5332
2823.05,22818.125
2833.06,22804.49023
2843.07,22797.9082
2853.09,22810.625
2863.09,22798.35742
2873.09,22818.125
2883.11,22798.35742
2893.11,22793.12305
2903.12,22793.12305
2913.14,22779.06836
2923.14,22869.5918
2933.16,22831.7832
2943.16,22837.00586
2953.19,22832.24414
2963.2,22778.18164
2973.2,22837.92773
2983.2,22831.7832
2993.21,22798.35742
3003.21,22799.25977
3013.22,22824.26367
3023.23,22800.16016
3033.23,22845.0
3043.23,22837.00586
3053.24,22798.80859
3063.24,22891.37891
3073.26,22838.39062
3083.25,22859.16992
3093.26,22844.07031
3103.27,22819.95312
3113.29,22871.48047
3123.29,22856.83008
3133.29,22839.31641
3143.32,22839.31641
3153.32,22838.39062
3163.34,22811.5332
3173.36,22799.70898
3183.38,22869.5918
3193.38,22871.95117
3203.39,22864.38281
3213.38,22858.23047
3223.39,22838.39062
3233.4,22818.125
3243.41,22812.89453
3253.41,22871.95117
3263.4,22819.03711
3273.41,22837.92773
3283.44,22864.85352
3293.45,22825.63867
3303.46,22844.53711
3313.47,22857.76367
3323.47,22825.17969
3333.48,22878.10742
3343.47,22864.38281
3353.5,22870.06445
3363.5,22837.92773
3373.49,22811.98633
3383.53,22884.26367
3393.53,22824.72266
3403.56,22839.31641
3413.56,22863.91211
3423.58,22851.61523
3433.6,22838.39062
3443.61,22833.16602
3453.61,22851.14648
3463.61,22818.125
3473.61,22837.00586
3483.63,22808.11328
3493.64,22851.14648
3503.64,22877.16016
3513.65,22852.08008
3523.65,22865.32617
3533.66,22879.05859
3543.67,22837.00586
3553.7,22852.54688
3563.71,22825.63867
3573.71,22852.08008
3583.74,22825.17969
3593.76,22903.21875
3603.74,22851.14648
3613.77,22872.42578
3623.78,22878.58398
3633.78,22910.34375
3643.81,22892.33789
3653.81,22889.94531
3663.82,22859.63867
3673.82,22903.21875
3683.83,22890.42188
3693.85,22896.57812
3703.87,22871.00586
3713.87,22839.31641
3723.89,22879.05859
3733.89,22851.61523
3743.9,22871.95117
3753.9,22884.74219
3763.94,22840.24219
3773.95,22864.85352
3783.96,22864.85352
3793.97,22826.09961
3803.98,22878.58398
3813.98,22852.08008
3824.02,22891.85742
3834.02,22890.90039
3844.05,22899.46484
3854.06,22846.39453
3864.07,22871.48047
3874.06,22871.00586
3884.09,22885.69531
3894.1,22897.53906
3904.1,22885.69531
3914.1,22924.13281
3924.13,22909.37695
3934.13,22884.26367
